type_crypto,date,close_orig,close_pred
ada,2017-12-01 00:00:00,0.130919446,0.15006619290852632
ada,2017-12-02 00:00:00,0.133986574,0.16070526259440962
ada,2017-12-03 00:00:00,0.13297173,0.15980260056942294
ada,2017-12-04 00:00:00,0.13565318,0.15927636530422162
ada,2017-12-05 00:00:00,0.129202204,0.15726475348761337
ada,2017-12-06 00:00:00,0.119855284,0.15860428535079008
ada,2017-12-07 00:00:00,0.110885162,0.1579743170143625
ada,2017-12-08 00:00:00,0.117555869,0.15962298768927638
ada,2017-12-09 00:00:00,0.120803494,0.1603872351725768
ada,2017-12-10 00:00:00,0.111121255,0.15973348300429252
ada,2017-12-11 00:00:00,0.120887113,0.1575099732125425
ada,2017-12-12 00:00:00,0.130403164,0.15519412106508573
ada,2017-12-13 00:00:00,0.132194746,0.15626303728623883
ada,2017-12-14 00:00:00,0.225641286,0.16001564463112505
ada,2017-12-15 00:00:00,0.214174321,0.15937276688463342
ada,2017-12-16 00:00:00,0.405465775,0.1588508061196299
ada,2017-12-17 00:00:00,0.47796484,0.1593205623036554
ada,2017-12-18 00:00:00,0.515875479,0.1611878245930757
ada,2017-12-19 00:00:00,0.53628232,0.1605516420633043
ada,2017-12-20 00:00:00,0.490121382,0.15956771440260004
ada,2017-12-21 00:00:00,0.474320939,0.16048168388840484
ada,2017-12-22 00:00:00,0.406008622,0.1578974929184667
ada,2017-12-23 00:00:00,0.403361033,0.16042426596532494
ada,2017-12-24 00:00:00,0.385976281,0.16044152467819484
ada,2017-12-25 00:00:00,0.414036101,0.16095597354600366
ada,2017-12-26 00:00:00,0.435952808,0.15981994521863618
ada,2017-12-27 00:00:00,0.419853544,0.15983671828900092
ada,2017-12-28 00:00:00,0.411105748,0.15872829241218928
ada,2017-12-29 00:00:00,0.528676074,0.1611258933366725
ada,2017-12-30 00:00:00,0.632473099,0.16194657233823456
ada,2017-12-31 00:00:00,0.72229995,0.14858016659778914
ada,2018-01-01 00:00:00,0.731872207,0.15805058854987525
ada,2018-01-02 00:00:00,0.784924774,0.1595507419825427
ada,2018-01-03 00:00:00,1.072058506,0.15845509139917763
ada,2018-01-04 00:00:00,1.112178655,0.15929886755048103
ada,2018-01-05 00:00:00,0.997115362,0.1575799480924596
ada,2018-01-06 00:00:00,1.019898027,0.15787709083184712
ada,2018-01-07 00:00:00,1.038848345,0.1548828641658629
ada,2018-01-08 00:00:00,0.89872971,0.15680115073584194
ada,2018-01-09 00:00:00,0.812461973,0.15371932914460795
ada,2018-01-10 00:00:00,0.783314946,0.15800530563470136
ada,2018-01-11 00:00:00,0.688184853,0.1565717257427851
ada,2018-01-12 00:00:00,0.898686107,0.16032945409941263
