type_crypto,date,close_orig,close_pred
ada,11/1/17,0.023359048,0.094365372
ada,11/2/17,0.021463315,0.098290303
ada,11/3/17,0.022774749,0.09894026
ada,11/4/17,0.022038086,0.098573771
ada,11/5/17,0.021960792,0.095831257
ada,11/6/17,0.022052455,0.098079587
ada,11/7/17,0.022295586,0.09691795
ada,11/8/17,0.02515514,0.099078135
ada,11/9/17,0.032665186,0.099293606
ada,11/10/17,0.02728653,0.099407514
ada,11/11/17,0.02733349,0.100060261
ada,11/12/17,0.024514888,0.102109738
ada,11/13/17,0.025775407,0.100568352
ada,11/14/17,0.02632349,0.10240244
ada,11/15/17,0.026658619,0.101500195
ada,11/16/17,0.027723101,0.101061809
ada,11/17/17,0.025460807,0.101132973
ada,11/18/17,0.026375259,0.102217147
ada,11/19/17,0.027999717,0.103608646
ada,11/20/17,0.029416131,0.101641259
ada,11/21/17,0.028435793,0.102141033
ada,11/22/17,0.028577891,0.099731936
ada,11/23/17,0.027555339,0.101853815
ada,11/24/17,0.028347575,0.102000743
ada,11/25/17,0.030519448,0.102156893
ada,11/26/17,0.035759118,0.101022378
ada,11/27/17,0.050743701,0.100845238
ada,11/28/17,0.12087787,0.101340679
ada,11/29/17,0.091985005,0.102739564
ada,11/30/17,0.122796554,0.104334724
ada,12/1/17,0.130919446,0.092426722
ada,12/2/17,0.133986574,0.097843764
ada,12/3/17,0.13297173,0.099563459
ada,12/4/17,0.13565318,0.098129243
ada,12/5/17,0.129202204,0.09870354
ada,12/6/17,0.119855284,0.097635868
ada,12/7/17,0.110885162,0.097966839
ada,12/8/17,0.117555869,0.097614241
ada,12/9/17,0.120803494,0.102128166
ada,12/10/17,0.111121255,0.097294536
ada,12/11/17,0.120887113,0.100168493
ada,12/12/17,0.130403164,0.09824035
ada,12/13/17,0.132194746,0.10110045
ada,12/14/17,0.225641286,0.101094311
ada,12/15/17,0.214174321,0.100593969
ada,12/16/17,0.405465775,0.101780068
ada,12/17/17,0.47796484,0.099369709
ada,12/18/17,0.515875479,0.100891887
ada,12/19/17,0.53628232,0.102140107
ada,12/20/17,0.490121382,0.102430808
ada,12/21/17,0.474320939,0.102671656
ada,12/22/17,0.406008622,0.103104112
ada,12/23/17,0.403361033,0.1019055
ada,12/24/17,0.385976281,0.102343657
ada,12/25/17,0.414036101,0.10432783
ada,12/26/17,0.435952808,0.101844267
ada,12/27/17,0.419853544,0.111225519
ada,12/28/17,0.411105748,0.099501709
ada,12/29/17,0.528676074,0.102407745
ada,12/30/17,0.632473099,0.152057838
ada,12/31/17,0.72229995,0.15178748
ada,1/1/18,0.731872207,0.158338004
ada,1/2/18,0.784924774,0.155414053
ada,1/3/18,1.072058506,0.153387377
ada,1/4/18,1.112178655,0.155497048
ada,1/5/18,0.997115362,0.13563249
ada,1/6/18,1.019898027,0.134015834
ada,1/7/18,1.038848345,0.140747499
ada,1/8/18,0.89872971,0.125117871
ada,1/9/18,0.812461973,0.140477535
ada,1/10/18,0.783314946,0.151624947
ada,1/11/18,0.688184853,0.149145552
ada,1/12/18,0.898686107,0.16189182
ada,1/13/18,0.893424712,0.173841913
ada,1/14/18,0.799436276,0.215442905
ada,1/15/18,0.778803969,0.19001526
ada,1/16/18,0.621661229,0.277240327
ada,1/17/18,0.631572426,0.417395256
ada,1/18/18,0.650835272,0.347855247
ada,1/19/18,0.648897473,0.317381084
ada,1/20/18,0.715659767,0.320242487
ada,1/21/18,0.613642215,0.276485558
ada,1/22/18,0.573069084,0.307791843
ada,1/23/18,0.558616043,0.304373621
ada,1/24/18,0.563633619,0.305463449
ada,1/25/18,0.641600003,0.326577106
ada,1/26/18,0.619875403,0.29280707
ada,1/27/18,0.62293843,0.296579589
ada,1/28/18,0.642900882,0.305239009
ada,1/29/18,0.602152651,0.336251341
ada,1/30/18,0.50713864,0.508732041
ada,1/31/18,0.503927018,0.49371999
ada,2/1/18,0.415171013,0.492165717
ada,2/2/18,0.396772387,0.676070469
ada,2/3/18,0.458365106,0.610610252
ada,2/4/18,0.391107509,0.492623504
ada,2/5/18,0.312515905,0.65841271
ada,2/6/18,0.366607326,0.673778375
ada,2/7/18,0.332015766,0.367670618
ada,2/8/18,0.352682811,0.251941595
ada,2/9/18,0.380414412,0.461160045
ada,2/10/18,0.386684018,0.462617528
ada,2/11/18,0.353583527,0.502474588
ada,2/12/18,0.369385022,0.542935711
ada,2/13/18,0.356932891,0.430213133
ada,2/14/18,0.391119065,0.438377229
ada,2/15/18,0.390615361,0.34138481
ada,2/16/18,0.393604895,0.369587914
ada,2/17/18,0.411324566,0.423609326
ada,2/18/18,0.371196788,0.421298978
ada,2/19/18,0.376884788,0.473820709
ada,2/20/18,0.35599668,0.328957472
ada,2/21/18,0.337894181,0.367620673
ada,2/22/18,0.316900534,0.376248022
ada,2/23/18,0.326202975,0.399156086
ada,2/24/18,0.306264148,0.427574655
ada,2/25/18,0.328496122,0.402947155
ada,2/26/18,0.326277331,0.423269063
ada,2/27/18,0.330851053,0.423907212
ada,2/28/18,0.30617909,0.384831185
ada,3/1/18,0.300229356,0.317041641
ada,3/2/18,0.290401609,0.308738592
ada,3/3/18,0.291805162,0.257630038
ada,3/4/18,0.298469885,0.320032029
ada,3/5/18,0.293223211,0.293925854
ada,3/6/18,0.277532546,0.212763835
ada,3/7/18,0.242197976,0.206837358
ada,3/8/18,0.216655262,0.292123261
ada,3/9/18,0.216822416,0.249020699
ada,3/10/18,0.203974784,0.300029548
ada,3/11/18,0.219286455,0.290139599
