type_crypto,date,close_orig,close_pred_ARIMA
ada,2017-10-02,0.025808402,0
ada,2017-10-03,0.020826864,0.038712602997449524
ada,2017-10-04,0.021973245,0.01584532609972012
ada,2017-10-05,0.021512368,0.01982504630052475
ada,2017-10-06,0.018481458,0.020138289274631082
ada,2017-10-07,0.020780847,0.016805520802795945
ada,2017-10-08,0.020400874,0.019555850867258168
ada,2017-10-09,0.022086171,0.019568211494669398
ada,2017-10-10,0.021504705,0.02144841629816921
ada,2017-10-11,0.022481946,0.021040918490454096
ada,2017-10-12,0.026489934,0.02204857108589477
ada,2017-10-13,0.033616608,0.0263589750717585
ada,2017-10-14,0.031810871,0.03402647988548568
ada,2017-10-15,0.029941374,0.032600566167004484
ada,2017-10-16,0.028579797,0.03036470139905163
ada,2017-10-17,0.027374196,0.028845246497563065
ada,2017-10-18,0.026707198,0.027541834792589464
ada,2017-10-19,0.026861991,0.026794823780520567
ada,2017-10-20,0.030604809,0.02691682518741446
ada,2017-10-21,0.028547658,0.030676278327474323
ada,2017-10-22,0.027927592,0.02890260665117854
ada,2017-10-23,0.025933067,0.02804501931367351
ada,2017-10-24,0.027303028,0.026054350201811346
ada,2017-10-25,0.027481451,0.027264650391647383
ada,2017-10-26,0.027192794,0.02758229871394379
ada,2017-10-27,0.026331146,0.027281935997618734
ada,2017-10-28,0.025976634,0.02640613341247887
ada,2017-10-29,0.028397245,0.025995690970463933
ada,2017-10-30,0.028343225,0.028357063726067087
ada,2017-10-31,0.030536733,0.02849435621004358
ada,2017-11-01,0.023359048,0.030585025439335684
ada,2017-11-02,0.021463315,0.02374006760564804
ada,2017-11-03,0.022774749,0.021297773832654025
ada,2017-11-04,0.022038086,0.022570671154630274
ada,2017-11-05,0.021960792,0.02199339650321875
ada,2017-11-06,0.022052455,0.021839886097681525
ada,2017-11-07,0.022295586,0.021940197316677162
ada,2017-11-08,0.02515514,0.022187722939428427
ada,2017-11-09,0.032665186,0.024981703277826242
ada,2017-11-10,0.02728653,0.03247821450560562
ada,2017-11-11,0.02733349,0.02778440040234898
ada,2017-11-12,0.024514888,0.02727397950578308
ada,2017-11-13,0.025775407,0.024650946913512786
ada,2017-11-14,0.02632349,0.02565362744806159
ada,2017-11-15,0.026658619,0.02633305312322002
ada,2017-11-16,0.027723101,0.026674540315236306
ada,2017-11-17,0.025460807,0.027716975739811
ada,2017-11-18,0.026375259,0.025608064110655755
ada,2017-11-19,0.027999717,0.026296974881784847
ada,2017-11-20,0.029416131,0.027975217620261023
ada,2017-11-21,0.028435793,0.029445983770864742
ada,2017-11-22,0.028577891,0.028577759624575684
ada,2017-11-23,0.027555339,0.028611860643370582
ada,2017-11-24,0.028347575,0.0276558581329136
ada,2017-11-25,0.030519448,0.028336555528265826
ada,2017-11-26,0.035759118,0.030503986202493706
ada,2017-11-27,0.050743701,0.03569043379762178
ada,2017-11-28,0.12087787,0.050446965991074406
ada,2017-11-29,0.091985005,0.11886410840592157
ada,2017-11-30,0.122796554,0.09615144926637395
ada,2017-12-01,0.130919446,0.12219541523484899
ada,2017-12-02,0.133986574,0.1328546119866677
ada,2017-12-03,0.13297173,0.13580887667939948
ada,2017-12-04,0.13565318,0.1348868665621707
ada,2017-12-05,0.129202204,0.13729515576320364
ada,2017-12-06,0.119855284,0.13130471853946724
ada,2017-12-07,0.110885162,0.12177755401930966
ada,2017-12-08,0.117555869,0.11256744515350801
ada,2017-12-09,0.120803494,0.11843096322957392
ada,2017-12-10,0.111121255,0.1221966073503834
ada,2017-12-11,0.120887113,0.11302520940731492
ada,2017-12-12,0.130403164,0.12155989588972275
ada,2017-12-13,0.132194746,0.1315736462171239
ada,2017-12-14,0.225641286,0.1338081197935573
ada,2017-12-15,0.214174321,0.22316341017254268
ada,2017-12-16,0.405465775,0.21922694631865924
ada,2017-12-17,0.47796484,0.39954717696604025
ada,2017-12-18,0.515875479,0.4835694305762416
ada,2017-12-19,0.53628232,0.5216729229267989
ada,2017-12-20,0.490121382,0.5426233880527255
ada,2017-12-21,0.474320939,0.4992565861370812
ada,2017-12-22,0.406008622,0.48019094118474165
ada,2017-12-23,0.403361033,0.4145060372890215
ada,2017-12-24,0.385976281,0.40702267146750726
ada,2017-12-25,0.414036101,0.3914332380169545
ada,2017-12-26,0.435952808,0.4169083760898803
ada,2017-12-27,0.419853544,0.4402368749733593
ada,2017-12-28,0.411105748,0.4259470098070762
ada,2017-12-29,0.528676074,0.4159093422060037
ada,2017-12-30,0.632473099,0.527720593469618
ada,2017-12-31,0.72229995,0.6358087263942492
ada,2018-01-01,0.731872207,0.7271366411366971
ada,2018-01-02,0.784924774,0.741062877311013
ada,2018-01-03,1.072058506,0.7906411322223988
ada,2018-01-04,1.112178655,1.068305274702662
ada,2018-01-05,0.997115362,1.1272461516550227
ada,2018-01-06,1.019898027,1.0150710214137642
ada,2018-01-07,1.038848345,1.027208568362547
ada,2018-01-08,0.89872971,1.0490403793101795
ada,2018-01-09,0.812461973,0.9163540812483846
ada,2018-01-10,0.783314946,0.8230415182167216
ada,2018-01-11,0.688184853,0.7912454102342353
ada,2018-01-12,0.898686107,0.6998973458347478
ada,2018-01-13,0.893424712,0.8937662394572814
ada,2018-01-14,0.799436276,0.9064000758700056
ada,2018-01-15,0.778803969,0.8124422120315391
ada,2018-01-16,0.621661229,0.7856843216030912
ada,2018-01-17,0.631572426,0.6361030265176828
ada,2018-01-18,0.650835272,0.6339615468923891
ada,2018-01-19,0.648897473,0.6559320663618496
ada,2018-01-20,0.715659767,0.6553067932673863
ada,2018-01-21,0.613642215,0.7183235569016241
ada,2018-01-22,0.573069084,0.6262195403978631
ada,2018-01-23,0.558616043,0.578566101816732
ada,2018-01-24,0.563633619,0.5635862480657862
ada,2018-01-25,0.641600003,0.5679800054911883
ada,2018-01-26,0.619875403,0.642801532504088
ada,2018-01-27,0.62293843,0.6278893372902992
ada,2018-01-28,0.642900882,0.6276620886735307
ada,2018-01-29,0.602152651,0.6472510044529971
ada,2018-01-30,0.50713864,0.6098847775958484
ada,2018-01-31,0.503927018,0.5159769824142664
ada,2018-02-01,0.415171013,0.5064485476905148
ada,2018-02-02,0.396772387,0.4234983158299809
ada,2018-02-03,0.458365106,0.39930634418223687
ada,2018-02-04,0.391107509,0.4581291330654059
ada,2018-02-05,0.312515905,0.3991319099322677
ada,2018-02-06,0.366607326,0.3181188033798564
ada,2018-02-07,0.332015766,0.36484459542251557
ada,2018-02-08,0.352682811,0.337483438740103
ada,2018-02-09,0.380414412,0.3534923308185629
ada,2018-02-10,0.386684018,0.3820494432705454
ada,2018-02-11,0.353583527,0.38970418279161717
ada,2018-02-12,0.369385022,0.35817071305243275
ada,2018-02-13,0.356932891,0.3705516685548919
ada,2018-02-14,0.391119065,0.36050550046607355
ada,2018-02-15,0.390615361,0.3917473978460414
ada,2018-02-16,0.393604895,0.3940669164029162
ada,2018-02-17,0.411324566,0.3962144668268561
ada,2018-02-18,0.371196788,0.4132712437678182
ada,2018-02-19,0.376884788,0.37639908085656887
ada,2018-02-20,0.35599668,0.3784200329299764
ada,2018-02-21,0.337894181,0.3597282022850707
ada,2018-02-22,0.316900534,0.3408231891614396
ada,2018-02-23,0.326202975,0.3198778365817128
ada,2018-02-24,0.306264148,0.32744958360794146
ada,2018-02-25,0.328496122,0.3095849984185939
ada,2018-02-26,0.326277331,0.32901101100653496
ada,2018-02-27,0.330851053,0.32894098436416586
ada,2018-02-28,0.30617909,0.3326905032401843
ada,2018-03-01,0.300229356,0.30962747812658137
ada,2018-03-02,0.290401609,0.30201166942370095
ada,2018-03-03,0.291805162,0.2926728136484146
ada,2018-03-04,0.298469885,0.29336098148435136
ada,2018-03-05,0.293223211,0.29996744961681215
ada,2018-03-06,0.277532546,0.29545079822700404
ada,2018-03-07,0.242197976,0.28001805215547787
ada,2018-03-08,0.216655262,0.2453642798122037
ada,2018-03-09,0.216822416,0.21871979249290927
ada,2018-03-10,0.203974784,0.21759490286078426
ada,2018-03-11,0.219286455,0.20587543843293052
ada,2018-03-12,0.218401908,0.21943091982437993
ada,2018-03-13,0.219028994,0.21997980444300588
ada,2018-03-14,0.194495971,0.2202162619324271
ada,2018-03-15,0.182036641,0.19698274537101815
ada,2018-03-16,0.176255431,0.1832819762003254
ada,2018-03-17,0.153151578,0.17730153662586243
ada,2018-03-18,0.155417116,0.1551595553355226
ada,2018-03-19,0.186935239,0.1556656025008345
ada,2018-03-20,0.199989296,0.18617609564629065
ada,2018-03-21,0.208094911,0.2009007797817217
ada,2018-03-22,0.203272,0.20898916251502989
ada,2018-03-23,0.18333677,0.20477602689652225
ada,2018-03-24,0.187977223,0.18533612636577856
ada,2018-03-25,0.181911028,0.18831670248049254
ada,2018-03-26,0.165437567,0.18327547779350897
ada,2018-03-27,0.152921015,0.1670937540668494
ada,2018-03-28,0.157864381,0.15407977073571627
ada,2018-03-29,0.144032503,0.1581255531749388
ada,2018-03-30,0.143355229,0.14560337503442003
ada,2018-03-31,0.152608472,0.14381968542241078
ada,2018-04-01,0.148013198,0.15280031850749573
ada,2018-04-02,0.152766786,0.14914864267358557
ada,2018-04-03,0.170123448,0.1531354113729368
ada,2018-04-04,0.153376523,0.17004142145972537
ada,2018-04-05,0.147547556,0.15537405688204814
ada,2018-04-06,0.143346436,0.14825313077090327
ada,2018-04-07,0.147261916,0.14413460019136884
ada,2018-04-08,0.155284629,0.14763570320184888
ada,2018-04-09,0.150814293,0.15561554761445606
ada,2018-04-10,0.155685224,0.15190538463412545
ada,2018-04-11,0.165862944,0.15603495499677766
ada,2018-04-12,0.215812337,0.16613502821355933
ada,2018-04-13,0.201762985,0.21418158477072297
ada,2018-04-14,0.203112207,0.20443788838920704
ada,2018-04-15,0.225029959,0.2037244128552262
ada,2018-04-16,0.256439824,0.22486702899447436
ada,2018-04-17,0.243272937,0.256278330351937
ada,2018-04-18,0.261725502,0.24575319916143815
ada,2018-04-19,0.270653014,0.26166742028676115
ada,2018-04-20,0.300734078,0.271764764254528
ada,2018-04-21,0.287468226,0.30061314375864195
ada,2018-04-22,0.281985859,0.2901349838462637
ada,2018-04-23,0.286961246,0.28337013776299486
ada,2018-04-24,0.311295837,0.28791269304988326
ada,2018-04-25,0.268027228,0.31145505317357003
ada,2018-04-26,0.293485769,0.27217262189037944
ada,2018-04-27,0.286803732,0.2925824232979218
ada,2018-04-28,0.357579178,0.28896677284014866
ada,2018-04-29,0.365234044,0.35507840794545603
ada,2018-04-30,0.339716483,0.36779746470956354
ada,2018-05-01,0.356866837,0.34286603235447194
ada,2018-05-02,0.373670872,0.35704644505032107
ada,2018-05-03,0.368228669,0.374735983482828
ada,2018-05-04,0.359578412,0.3705207513366193
ada,2018-05-05,0.366379828,0.3615910817086468
ada,2018-05-06,0.347715499,0.3674776914546841
ada,2018-05-07,0.331588228,0.3504537937256541
ada,2018-05-08,0.325487865,0.33362545840065216
ada,2018-05-09,0.319541995,0.32696487487876374
ada,2018-05-10,0.293991606,0.3211613388073296
ada,2018-05-11,0.258232042,0.29660406041815246
ada,2018-05-12,0.265439681,0.2608890238891272
ada,2018-05-13,0.278370273,0.26548757840939086
ada,2018-05-14,0.275510289,0.27894370959651327
ada,2018-05-15,0.261163254,0.2770711442354425
ada,2018-05-16,0.255991388,0.26301461503892504
ada,2018-05-17,0.245135738,0.2570783861871616
ada,2018-05-18,0.245931711,0.24666232721830383
ada,2018-05-19,0.243138787,0.2466882162353542
ada,2018-05-20,0.256050883,0.24429869649695798
ada,2018-05-21,0.24931837,0.25630340936804086
ada,2018-05-22,0.225683593,0.250946563526901
ada,2018-05-23,0.204334796,0.22780062158235326
ada,2018-05-24,0.20877343,0.20590926010968844
ada,2018-05-25,0.201297246,0.20893719985907389
ada,2018-05-26,0.197371223,0.20258128921249674
ada,2018-05-27,0.192802224,0.19821160258472245
ada,2018-05-28,0.17634794,0.19372180522408605
ada,2018-05-29,0.204999817,0.17785787151857865
ada,2018-05-30,0.212663223,0.2038413454452864
ada,2018-05-31,0.225993182,0.21356636133964546
ada,2018-06-01,0.222842473,0.22623867006402165
ada,2018-06-02,0.227550975,0.22411484064517675
ada,2018-06-03,0.22758201,0.22808684748408475
ada,2018-06-04,0.215111585,0.2285265923202269
ada,2018-06-05,0.221585894,0.2166253328418602
ada,2018-06-06,0.2145816,0.22181277511314412
ada,2018-06-07,0.211089385,0.2158945673586111
ada,2018-06-08,0.206559125,0.2119346973309783
ada,2018-06-09,0.204851369,0.20750661781703544
ada,2018-06-10,0.1780483,0.20560871503319128
ada,2018-06-11,0.180109338,0.18017364380498238
ada,2018-06-12,0.165864142,0.18013140767373667
ada,2018-06-13,0.160494136,0.16728885643985408
ada,2018-06-14,0.172609665,0.161086926852594
ada,2018-06-15,0.1646256,0.1724180055837631
ada,2018-06-16,0.163408573,0.16586810988267897
ada,2018-06-17,0.16162936,0.16388612997276045
ada,2018-06-18,0.164316583,0.1622549769517654
ada,2018-06-19,0.166925098,0.1646860293738533
ada,2018-06-20,0.16207881,0.1673900553115198
ada,2018-06-21,0.158548066,0.16294549673604555
ada,2018-06-22,0.140233547,0.15918564602623114
ada,2018-06-23,0.138331875,0.14166322829287933
ada,2018-06-24,0.132038563,0.1385436138927259
ada,2018-06-25,0.135461786,0.13277811627532793
ada,2018-06-26,0.126506531,0.1355783470323097
ada,2018-06-27,0.127307398,0.1274716765507303
ada,2018-06-28,0.120250079,0.1274892081195526
ada,2018-06-29,0.123478805,0.12103145280928276
ada,2018-06-30,0.137646362,0.12353983524264062
ada,2018-07-01,0.150459588,0.13732780735404973
ada,2018-07-02,0.153943849,0.15046815896536064
ada,2018-07-03,0.150865566,0.1544702014073415
ada,2018-07-04,0.152078913,0.15157945601773362
ada,2018-07-05,0.147308989,0.1524296896542669
ada,2018-07-06,0.145358637,0.14806033239267677
ada,2018-07-07,0.147398849,0.1458296119215414
ada,2018-07-08,0.14712175,0.1477007780028209
ada,2018-07-09,0.140411489,0.14762689965357087
ada,2018-07-10,0.129249049,0.1412135868144218
ada,2018-07-11,0.131146644,0.1301427685553895
ada,2018-07-12,0.126326303,0.13121975687964016
ada,2018-07-13,0.137096041,0.12700479059677386
ada,2018-07-14,0.136890853,0.13680036920486538
ada,2018-07-15,0.142403922,0.13750673224440244
ada,2018-07-16,0.15903766,0.14250953256964524
ada,2018-07-17,0.171493245,0.1586746096261042
ada,2018-07-18,0.180650711,0.17161734361188732
ada,2018-07-19,0.181066529,0.18091638201328314
ada,2018-07-20,0.162025253,0.18176851887330375
ada,2018-07-21,0.164012341,0.16360348254008755
ada,2018-07-22,0.169475568,0.16403818857962288
ada,2018-07-23,0.165207135,0.16971053393918767
ada,2018-07-24,0.172116094,0.1660438230760941
ada,2018-07-25,0.172613792,0.17215875726035462
ada,2018-07-26,0.16493621,0.1732285120653419
ada,2018-07-27,0.16603471,0.16586915559800366
ada,2018-07-28,0.163551637,0.1663187337846773
ada,2018-07-29,0.163223571,0.16419183242101446
ada,2018-07-30,0.153829865,0.16367200610467017
ada,2018-07-31,0.143352276,0.15480040337365342
